ip_at_ttl,dst,seq
129.222.111.159,129.222.111.159,34
129.222.111.16,129.222.111.16,14
129.222.111.169,129.222.111.169,15
129.222.111.172,129.222.111.172,21
129.222.111.175,129.222.111.175,33
129.222.111.176,129.222.111.176,26
129.222.111.178,129.222.111.178,12
129.222.111.184,129.222.111.184,12
129.222.111.185,129.222.111.185,27
129.222.111.191,129.222.111.191,9
129.222.111.194,129.222.111.194,30
129.222.111.196,129.222.111.196,34
129.222.111.199,129.222.111.199,32
129.222.111.200,129.222.111.200,9
129.222.111.210,129.222.111.210,17
129.222.111.222,129.222.111.222,13
129.222.111.224,129.222.111.224,30
129.222.111.23,129.222.111.23,13
129.222.111.231,129.222.111.231,29
129.222.111.233,129.222.111.233,7
129.222.111.235,129.222.111.235,22
129.222.111.239,129.222.111.239,21
129.222.111.250,129.222.111.250,29
129.222.111.251,129.222.111.251,32
129.222.111.253,129.222.111.253,8
129.222.111.3,129.222.111.3,30
129.222.111.32,129.222.111.32,28
129.222.111.38,129.222.111.38,34
129.222.111.4,129.222.111.4,23
129.222.111.42,129.222.111.42,17
129.222.111.43,129.222.111.43,11
129.222.111.44,129.222.111.44,20
129.222.111.49,129.222.111.49,23
129.222.111.51,129.222.111.51,33
129.222.111.56,129.222.111.56,15
129.222.111.58,129.222.111.58,23
129.222.111.59,129.222.111.59,34
129.222.111.63,129.222.111.63,12
129.222.111.64,129.222.111.64,34
129.222.111.65,129.222.111.65,23
129.222.111.67,129.222.111.67,10
129.222.111.73,129.222.111.73,23
129.222.111.76,129.222.111.76,29
129.222.111.88,129.222.111.88,29
129.222.111.94,129.222.111.94,8
129.222.65.130,129.222.65.130,34
129.222.65.132,129.222.65.132,24
129.222.65.138,129.222.65.138,15
129.222.65.140,129.222.65.140,34
129.222.65.143,129.222.65.143,18
129.222.65.149,129.222.65.149,27
129.222.65.151,129.222.65.151,25
129.222.65.155,129.222.65.155,22
129.222.65.157,129.222.65.157,13
129.222.65.163,129.222.65.163,18
129.222.65.170,129.222.65.170,20
129.222.65.173,129.222.65.173,18
129.222.65.174,129.222.65.174,9
129.222.65.176,129.222.65.176,11
129.222.65.177,129.222.65.177,10
129.222.65.179,129.222.65.179,24
129.222.65.181,129.222.65.181,28
129.222.65.182,129.222.65.182,31
129.222.65.185,129.222.65.185,17
129.222.65.187,129.222.65.187,27
129.222.65.194,129.222.65.194,28
129.222.65.197,129.222.65.197,24
129.222.65.199,129.222.65.199,27
129.222.65.200,129.222.65.200,28
129.222.65.205,129.222.65.205,37
129.222.65.210,129.222.65.210,29
129.222.65.213,129.222.65.213,15
129.222.65.215,129.222.65.215,31
129.222.65.218,129.222.65.218,28
129.222.65.222,129.222.65.222,20
129.222.65.228,129.222.65.228,8
129.222.65.229,129.222.65.229,13
129.222.65.234,129.222.65.234,25
129.222.65.236,129.222.65.236,33
129.222.65.238,129.222.65.238,29
129.222.65.242,129.222.65.242,18
129.222.65.244,129.222.65.244,26
129.222.65.247,129.222.65.247,21
129.222.65.250,129.222.65.250,8
129.222.65.253,129.222.65.253,27
129.222.65.254,129.222.65.254,27
129.222.90.146,129.222.90.146,28
129.222.90.147,129.222.90.147,32
129.222.90.157,129.222.90.157,24
129.222.90.16,129.222.90.16,17
129.222.90.161,129.222.90.161,33
129.222.90.168,129.222.90.168,22
129.222.90.175,129.222.90.175,33
129.222.90.177,129.222.90.177,21
129.222.90.188,129.222.90.188,10
129.222.90.197,129.222.90.197,24
129.222.90.199,129.222.90.199,30
129.222.90.224,129.222.90.224,17
129.222.90.230,129.222.90.230,17
129.222.90.233,129.222.90.233,18
129.222.90.240,129.222.90.240,12
129.222.90.25,129.222.90.25,12
129.222.90.252,129.222.90.252,21
129.222.90.26,129.222.90.26,25
129.222.90.28,129.222.90.28,10
129.222.90.35,129.222.90.35,34
129.222.90.36,129.222.90.36,32
129.222.90.45,129.222.90.45,25
129.222.90.53,129.222.90.53,21
129.222.90.56,129.222.90.56,15
129.222.90.58,129.222.90.58,21
129.222.90.69,129.222.90.69,28
129.222.90.70,129.222.90.70,19
129.222.90.76,129.222.90.76,29
129.222.90.86,129.222.90.86,21
129.222.90.88,129.222.90.88,32
129.222.90.90,129.222.90.90,28
129.224.217.108,129.224.217.225,22
129.224.217.108,129.224.217.229,17
129.224.217.108,129.224.217.233,32
129.224.217.108,129.224.217.237,23
129.224.217.108,129.224.217.241,23
129.224.217.108,129.224.217.245,30
129.224.217.108,129.224.217.249,24
129.224.217.108,129.224.217.253,33
138.84.44.101,138.84.44.101,18
138.84.44.105,138.84.44.105,21
138.84.44.112,138.84.44.112,22
138.84.44.121,138.84.44.121,22
138.84.44.122,138.84.44.122,30
138.84.44.123,138.84.44.123,18
138.84.44.125,138.84.44.125,23
138.84.44.128,138.84.44.128,28
138.84.44.131,138.84.44.131,29
138.84.44.135,138.84.44.135,13
138.84.44.138,138.84.44.138,5
138.84.44.142,138.84.44.142,17
138.84.44.148,138.84.44.148,18
138.84.44.160,138.84.44.160,10
138.84.44.161,138.84.44.161,7
138.84.44.171,138.84.44.171,20
138.84.44.172,138.84.44.172,13
138.84.44.176,138.84.44.176,18
138.84.44.177,138.84.44.177,33
138.84.44.181,138.84.44.181,27
138.84.44.184,138.84.44.184,19
138.84.44.186,138.84.44.186,25
138.84.44.187,138.84.44.187,13
138.84.44.189,138.84.44.189,27
138.84.44.193,138.84.44.193,28
138.84.44.194,138.84.44.194,22
138.84.44.196,138.84.44.196,25
138.84.44.206,138.84.44.206,28
138.84.44.21,138.84.44.21,28
138.84.44.211,138.84.44.211,10
138.84.44.213,138.84.44.213,28
138.84.44.215,138.84.44.215,36
138.84.44.216,138.84.44.216,24
138.84.44.218,138.84.44.218,37
138.84.44.220,138.84.44.220,26
138.84.44.221,138.84.44.221,20
138.84.44.222,138.84.44.222,8
138.84.44.229,138.84.44.229,27
138.84.44.23,138.84.44.23,11
138.84.44.234,138.84.44.234,24
138.84.44.245,138.84.44.245,25
138.84.44.249,138.84.44.249,10
138.84.44.28,138.84.44.28,14
138.84.44.40,138.84.44.40,18
138.84.44.43,138.84.44.43,11
138.84.44.46,138.84.44.46,29
138.84.44.48,138.84.44.48,32
138.84.44.5,138.84.44.5,24
138.84.44.53,138.84.44.53,23
138.84.44.57,138.84.44.57,22
138.84.44.60,138.84.44.60,30
138.84.44.69,138.84.44.69,9
138.84.44.71,138.84.44.71,28
138.84.44.8,138.84.44.8,11
138.84.44.81,138.84.44.81,20
138.84.44.85,138.84.44.85,33
138.84.44.99,138.84.44.99,24
138.84.52.219,138.84.52.219,28
138.84.52.245,138.84.52.245,34
138.84.55.101,138.84.55.101,25
138.84.55.102,138.84.55.102,27
138.84.55.115,138.84.55.115,10
138.84.55.119,138.84.55.119,10
138.84.55.122,138.84.55.122,12
138.84.55.126,138.84.55.126,24
138.84.55.127,138.84.55.127,24
138.84.55.139,138.84.55.139,16
138.84.55.145,138.84.55.145,31
138.84.55.148,138.84.55.148,11
138.84.55.159,138.84.55.159,26
138.84.55.16,138.84.55.16,17
138.84.55.171,138.84.55.171,24
138.84.55.173,138.84.55.173,30
138.84.55.18,138.84.55.18,9
138.84.55.184,138.84.55.184,15
138.84.55.201,138.84.55.201,9
138.84.55.203,138.84.55.203,7
138.84.55.207,138.84.55.207,8
138.84.55.208,138.84.55.208,16
138.84.55.213,138.84.55.213,31
138.84.55.216,138.84.55.216,21
138.84.55.22,138.84.55.22,10
138.84.55.225,138.84.55.225,34
138.84.55.24,138.84.55.24,10
138.84.55.249,138.84.55.249,21
138.84.55.253,138.84.55.253,29
138.84.55.29,138.84.55.29,32
138.84.55.30,138.84.55.30,14
138.84.55.34,138.84.55.34,26
138.84.55.37,138.84.55.37,24
138.84.55.50,138.84.55.50,27
138.84.55.58,138.84.55.58,29
138.84.55.7,138.84.55.7,22
138.84.55.78,138.84.55.78,10
138.84.55.8,138.84.55.8,17
138.84.55.84,138.84.55.84,26
138.84.55.85,138.84.55.85,25
138.84.55.87,138.84.55.87,10
138.84.55.90,138.84.55.90,16
138.84.56.128,138.84.56.128,34
138.84.56.132,138.84.56.132,16
138.84.56.133,138.84.56.133,32
138.84.56.149,138.84.56.149,18
138.84.56.158,138.84.56.158,30
138.84.56.168,138.84.56.168,27
138.84.56.184,138.84.56.184,22
138.84.56.186,138.84.56.186,29
138.84.56.187,138.84.56.187,22
138.84.56.188,138.84.56.188,21
138.84.56.189,138.84.56.189,27
138.84.56.196,138.84.56.196,34
138.84.56.202,138.84.56.202,28
138.84.56.212,138.84.56.212,33
138.84.56.214,138.84.56.214,21
138.84.56.217,138.84.56.217,14
138.84.56.222,138.84.56.222,14
138.84.56.226,138.84.56.226,43
138.84.56.228,138.84.56.228,26
138.84.56.236,138.84.56.236,20
138.84.56.244,138.84.56.244,16
138.84.56.245,138.84.56.245,10
138.84.56.252,138.84.56.252,28
138.84.59.188,138.84.59.188,32
138.84.60.104,138.84.60.104,38
138.84.60.105,138.84.60.105,24
138.84.60.106,138.84.60.106,10
138.84.60.107,138.84.60.107,32
138.84.60.111,138.84.60.111,8
138.84.60.114,138.84.60.114,27
138.84.60.12,138.84.60.12,23
138.84.60.125,138.84.60.125,18
138.84.60.126,138.84.60.126,8
138.84.60.18,138.84.60.18,36
138.84.60.19,138.84.60.19,10
138.84.60.20,138.84.60.20,20
138.84.60.23,138.84.60.23,27
138.84.60.24,138.84.60.24,10
138.84.60.28,138.84.60.28,14
138.84.60.33,138.84.60.33,30
138.84.60.34,138.84.60.34,26
138.84.60.35,138.84.60.35,17
138.84.60.43,138.84.60.43,32
138.84.60.54,138.84.60.54,12
138.84.60.60,138.84.60.60,17
138.84.60.68,138.84.60.68,23
138.84.60.75,138.84.60.75,12
138.84.60.80,138.84.60.80,24
138.84.60.82,138.84.60.82,27
138.84.60.83,138.84.60.83,33
138.84.60.89,138.84.60.89,15
138.84.60.90,138.84.60.90,28
138.84.60.92,138.84.60.92,28
138.84.60.93,138.84.60.93,7
138.84.60.94,138.84.60.94,30
138.84.60.98,138.84.60.98,26
138.84.63.120,138.84.63.120,29
138.84.63.27,138.84.63.27,18
138.84.63.29,138.84.63.29,27
138.84.63.93,138.84.63.93,20
143.105.16.101,143.105.16.101,27
143.105.16.11,143.105.16.11,35
143.105.16.113,143.105.16.113,20
143.105.16.116,143.105.16.116,18
143.105.16.124,143.105.16.124,15
143.105.16.127,143.105.16.127,24
143.105.16.130,143.105.16.130,10
143.105.16.132,143.105.16.132,17
143.105.16.136,143.105.16.136,29
143.105.16.148,143.105.16.148,27
143.105.16.155,143.105.16.155,8
143.105.16.166,143.105.16.166,10
143.105.16.171,143.105.16.171,31
143.105.16.177,143.105.16.177,6
143.105.16.18,143.105.16.18,8
143.105.16.180,143.105.16.180,11
143.105.16.182,143.105.16.182,30
143.105.16.188,143.105.16.188,27
143.105.16.189,143.105.16.189,36
143.105.16.191,143.105.16.191,11
143.105.16.194,143.105.16.194,25
143.105.16.20,143.105.16.20,33
143.105.16.203,143.105.16.203,27
143.105.16.208,143.105.16.208,31
143.105.16.21,143.105.16.21,26
143.105.16.218,143.105.16.218,13
143.105.16.222,143.105.16.222,11
143.105.16.235,143.105.16.235,27
143.105.16.239,143.105.16.239,12
143.105.16.245,143.105.16.245,29
143.105.16.248,143.105.16.248,11
143.105.16.25,143.105.16.25,30
143.105.16.254,143.105.16.254,19
143.105.16.29,143.105.16.29,18
143.105.16.32,143.105.16.32,24
143.105.16.36,143.105.16.36,30
143.105.16.39,143.105.16.39,8
143.105.16.4,143.105.16.4,21
143.105.16.42,143.105.16.42,34
143.105.16.44,143.105.16.44,30
143.105.16.49,143.105.16.49,33
143.105.16.52,143.105.16.52,34
143.105.16.56,143.105.16.56,15
143.105.16.57,143.105.16.57,26
143.105.16.6,143.105.16.6,26
143.105.16.63,143.105.16.63,29
143.105.16.67,143.105.16.67,33
143.105.16.7,143.105.16.7,23
143.105.16.71,143.105.16.71,21
143.105.16.79,143.105.16.79,17
143.105.16.8,143.105.16.8,31
143.105.16.82,143.105.16.82,25
143.105.16.85,143.105.16.85,30
143.105.16.89,143.105.16.89,26
143.105.16.94,143.105.16.94,14
143.105.16.95,143.105.16.95,32
143.105.16.98,143.105.16.98,28
143.105.16.99,143.105.16.99,16
143.105.69.156,143.105.69.156,22
143.105.69.204,143.105.69.204,8
143.105.69.221,143.105.69.221,28
143.105.69.224,143.105.69.224,27
143.105.69.240,143.105.69.240,28
143.105.69.30,143.105.69.30,32
143.105.69.4,143.105.69.4,22
143.105.70.107,143.105.70.107,19
143.105.70.108,143.105.70.108,28
143.105.70.129,143.105.70.129,13
143.105.70.171,143.105.70.171,27
143.105.70.182,143.105.70.182,24
143.105.70.187,143.105.70.187,27
143.105.70.194,143.105.70.194,6
143.105.70.215,143.105.70.215,10
143.105.70.223,143.105.70.223,17
143.105.70.226,143.105.70.226,18
143.105.70.233,143.105.70.233,24
143.105.70.238,143.105.70.238,13
143.105.70.242,143.105.70.242,12
143.105.70.244,143.105.70.244,9
143.105.70.29,143.105.70.29,26
143.105.70.50,143.105.70.50,12
143.105.70.6,143.105.70.6,35
143.105.70.62,143.105.70.62,17
143.105.70.71,143.105.70.71,34
143.105.70.77,143.105.70.77,27
143.105.70.81,143.105.70.81,27
143.105.70.96,143.105.70.96,18
143.105.70.97,143.105.70.97,28
143.105.70.98,143.105.70.98,26
143.105.71.1,143.105.71.1,31
143.105.71.101,143.105.71.101,19
143.105.71.11,143.105.71.11,21
143.105.71.144,143.105.71.144,26
143.105.71.152,143.105.71.152,20
143.105.71.155,143.105.71.155,29
143.105.71.16,143.105.71.16,25
143.105.71.178,143.105.71.178,33
143.105.71.179,143.105.71.179,33
143.105.71.191,143.105.71.191,29
143.105.71.209,143.105.71.209,33
143.105.71.21,143.105.71.21,22
143.105.71.224,143.105.71.224,15
143.105.71.229,143.105.71.229,25
143.105.71.234,143.105.71.234,17
143.105.71.253,143.105.71.253,22
143.105.71.37,143.105.71.37,23
143.105.71.59,143.105.71.59,31
143.105.71.62,143.105.71.62,9
143.105.71.67,143.105.71.67,12
143.105.71.70,143.105.71.70,20
143.105.71.94,143.105.71.94,25
143.105.71.98,143.105.71.98,33
148.222.133.101,148.222.133.101,7
148.222.133.102,148.222.133.102,27
148.222.133.104,148.222.133.104,7
148.222.133.108,148.222.133.108,20
148.222.133.117,148.222.133.117,28
148.222.133.120,148.222.133.120,29
148.222.133.125,148.222.133.125,40
148.222.133.127,148.222.133.127,15
148.222.133.136,148.222.133.136,16
148.222.133.139,148.222.133.139,11
148.222.133.147,148.222.133.147,26
148.222.133.149,148.222.133.149,32
148.222.133.15,148.222.133.15,19
148.222.133.153,148.222.133.153,28
148.222.133.155,148.222.133.155,11
148.222.133.156,148.222.133.156,14
148.222.133.157,148.222.133.157,12
148.222.133.167,148.222.133.167,9
148.222.133.171,148.222.133.171,29
148.222.133.172,148.222.133.172,30
148.222.133.176,148.222.133.176,14
148.222.133.178,148.222.133.178,9
148.222.133.180,148.222.133.180,10
148.222.133.181,148.222.133.181,24
148.222.133.184,148.222.133.184,30
148.222.133.186,148.222.133.186,12
148.222.133.191,148.222.133.191,32
148.222.133.193,148.222.133.193,13
148.222.133.194,148.222.133.194,14
148.222.133.196,148.222.133.196,22
148.222.133.203,148.222.133.203,16
148.222.133.216,148.222.133.216,30
148.222.133.218,148.222.133.218,22
148.222.133.220,148.222.133.220,13
148.222.133.223,148.222.133.223,28
148.222.133.224,148.222.133.224,22
148.222.133.226,148.222.133.226,10
148.222.133.248,148.222.133.248,11
148.222.133.28,148.222.133.28,16
148.222.133.29,148.222.133.29,31
148.222.133.3,148.222.133.3,19
148.222.133.31,148.222.133.31,26
148.222.133.37,148.222.133.37,23
148.222.133.40,148.222.133.40,7
148.222.133.47,148.222.133.47,13
148.222.133.51,148.222.133.51,11
148.222.133.57,148.222.133.57,30
148.222.133.62,148.222.133.62,28
148.222.133.66,148.222.133.66,26
148.222.133.67,148.222.133.67,24
148.222.133.7,148.222.133.7,36
148.222.133.70,148.222.133.70,16
148.222.133.71,148.222.133.71,19
148.222.133.79,148.222.133.79,25
148.222.133.85,148.222.133.85,17
148.222.133.88,148.222.133.88,30
148.222.133.92,148.222.133.92,27
148.222.133.96,148.222.133.96,18
149.19.109.112,206.214.225.97,30
149.19.109.126,135.129.37.170,38
149.19.109.126,135.129.37.190,35
149.19.109.98,129.222.120.131,1
149.19.109.98,129.222.120.133,1
149.19.109.98,129.222.120.144,1
149.19.109.98,129.222.120.180,1
149.19.109.98,129.222.120.32,2
149.19.109.98,129.222.120.40,2
149.19.109.98,129.222.120.75,1
149.19.109.98,129.222.120.77,2
149.19.109.98,129.222.121.183,1
149.19.109.98,129.222.122.128,1
149.19.109.98,129.222.122.14,2
149.19.109.98,129.222.122.157,1
149.19.109.98,129.222.123.103,3
149.19.109.98,129.222.123.122,3
149.19.109.98,129.222.123.132,2
149.19.109.98,129.222.123.178,1
149.19.109.98,129.222.123.224,1
149.19.109.98,129.222.123.253,2
149.19.109.98,129.222.123.4,2
149.19.109.98,129.222.123.40,2
149.19.109.98,129.222.123.59,1
149.19.109.98,129.222.124.104,1
149.19.109.98,129.222.124.12,1
149.19.109.98,129.222.124.13,1
149.19.109.98,129.222.124.168,2
149.19.109.98,129.222.124.187,1
149.19.109.98,129.222.124.197,2
149.19.109.98,129.222.124.216,2
149.19.109.98,129.222.124.239,2
149.19.109.98,129.222.124.242,1
149.19.109.98,129.222.124.60,1
149.19.109.98,129.222.124.63,1
149.19.109.98,129.222.124.68,1
149.19.109.98,129.222.124.69,1
149.19.109.98,129.222.127.138,2
149.19.109.98,129.222.127.160,2
149.19.109.98,129.222.127.166,2
149.19.109.98,129.222.127.222,1
149.19.109.98,129.222.127.252,2
149.19.109.98,129.222.127.81,2
149.19.109.98,129.222.127.96,3
149.19.109.98,129.222.73.24,2
149.19.109.98,129.222.74.130,3
149.19.109.98,129.222.74.36,2
149.19.109.98,129.222.75.0,1
149.19.109.98,129.222.75.137,2
149.19.109.98,129.222.75.143,1
149.19.109.98,129.222.75.236,1
149.19.109.98,129.222.75.255,3
149.19.109.98,129.222.75.36,2
149.19.109.98,129.224.192.101,1
149.19.109.98,129.224.192.29,2
149.19.109.98,129.224.192.65,1
149.19.109.98,129.224.192.8,2
149.19.109.98,129.224.193.102,1
149.19.109.98,129.224.193.129,1
149.19.109.98,129.224.193.140,1
149.19.109.98,129.224.193.16,1
149.19.109.98,129.224.193.177,2
149.19.109.98,129.224.193.242,1
149.19.109.98,129.224.193.250,2
149.19.109.98,129.224.193.41,1
149.19.109.98,129.224.193.76,2
149.19.109.98,129.224.194.132,1
149.19.109.98,129.224.194.139,1
149.19.109.98,129.224.194.174,1
149.19.109.98,129.224.194.200,1
149.19.109.98,129.224.194.233,2
149.19.109.98,129.224.194.24,1
149.19.109.98,129.224.194.39,2
149.19.109.98,129.224.194.60,1
149.19.109.98,129.224.194.66,2
149.19.109.98,129.224.194.87,1
149.19.109.98,129.224.195.156,2
149.19.109.98,129.224.195.163,2
149.19.109.98,129.224.195.165,1
149.19.109.98,129.224.195.249,2
149.19.109.98,129.224.195.8,2
149.19.109.98,129.224.196.199,1
149.19.109.98,129.224.196.201,2
149.19.109.98,129.224.196.237,1
149.19.109.98,129.224.196.240,2
149.19.109.98,129.224.196.91,3
149.19.109.98,129.224.197.111,1
149.19.109.98,129.224.197.116,1
149.19.109.98,129.224.197.135,1
149.19.109.98,129.224.197.17,2
149.19.109.98,129.224.197.172,2
149.19.109.98,129.224.197.194,2
149.19.109.98,129.224.197.196,1
149.19.109.98,129.224.197.204,3
149.19.109.98,129.224.197.220,1
149.19.109.98,129.224.197.27,1
149.19.109.98,129.224.197.94,2
149.19.109.98,129.224.198.10,2
149.19.109.98,129.224.198.133,2
149.19.109.98,129.224.198.159,3
149.19.109.98,129.224.198.196,1
149.19.109.98,129.224.198.2,1
149.19.109.98,129.224.198.206,2
149.19.109.98,129.224.198.236,1
149.19.109.98,129.224.198.67,2
149.19.109.98,129.224.198.80,1
149.19.109.98,129.224.199.121,2
149.19.109.98,129.224.199.185,2
149.19.109.98,129.224.199.235,1
149.19.109.98,129.224.199.243,2
149.19.109.98,129.224.199.37,3
149.19.109.98,129.224.199.54,1
149.19.109.98,143.105.61.141,2
149.19.109.98,143.105.62.105,3
149.19.109.98,143.105.62.143,2
149.19.109.98,143.105.62.152,1
149.19.109.98,143.105.62.209,2
149.19.109.98,143.105.62.253,1
149.19.109.98,143.105.63.220,1
149.19.109.98,98.97.87.93,2
149.19.109.98,98.97.88.117,1
149.19.109.98,98.97.88.153,2
149.19.109.98,98.97.88.225,1
149.19.109.98,98.97.88.231,1
149.19.109.98,98.97.88.248,1
149.19.109.98,98.97.88.74,1
149.19.109.98,98.97.89.114,1
149.19.109.98,98.97.90.197,2
149.19.109.98,98.97.90.247,2
149.19.109.98,98.97.90.65,2
149.19.109.98,98.97.90.79,2
149.19.109.98,98.97.91.117,1
149.19.109.98,98.97.91.154,2
149.19.109.98,98.97.91.50,2
149.19.109.98,98.97.91.81,1
149.19.109.98,98.97.92.124,1
149.19.109.98,98.97.92.144,1
149.19.109.98,98.97.92.51,2
149.19.109.98,98.97.92.82,2
149.19.109.98,98.97.92.86,1
149.19.109.98,98.97.93.172,2
149.19.109.98,98.97.93.20,2
149.19.109.98,98.97.94.15,1
149.19.109.98,98.97.94.185,3
149.19.109.98,98.97.95.116,2
149.19.109.98,98.97.95.150,2
149.19.109.98,98.97.95.169,1
149.19.109.98,98.97.95.17,2
149.19.109.98,98.97.95.188,1
149.19.109.98,98.97.95.223,2
149.19.109.98,98.97.95.224,1
149.19.109.98,98.97.95.232,3
149.19.168.115,149.19.168.115,17
149.19.168.117,149.19.168.117,19
149.19.168.14,149.19.168.14,27
149.19.168.15,149.19.168.15,8
149.19.168.19,149.19.168.19,26
149.19.168.20,149.19.168.20,30
149.19.168.27,149.19.168.27,29
149.19.168.28,149.19.168.28,26
149.19.168.30,149.19.168.30,31
149.19.168.32,149.19.168.32,34
149.19.168.37,149.19.168.37,14
149.19.168.4,149.19.168.4,29
149.19.168.52,149.19.168.52,29
149.19.168.53,149.19.168.53,15
149.19.168.55,149.19.168.55,13
149.19.168.6,149.19.168.6,20
149.19.168.66,149.19.168.66,24
149.19.168.71,149.19.168.71,9
149.19.168.72,149.19.168.72,32
149.19.168.73,149.19.168.73,21
149.19.168.8,149.19.168.8,28
149.19.168.89,149.19.168.89,31
149.19.168.97,149.19.168.97,11
170.203.192.107,170.203.192.107,15
170.203.192.12,170.203.192.12,31
170.203.192.125,170.203.192.125,26
170.203.192.127,170.203.192.127,24
170.203.192.141,170.203.192.141,28
170.203.192.146,170.203.192.146,20
170.203.192.151,170.203.192.151,30
170.203.192.157,170.203.192.157,16
170.203.192.16,170.203.192.16,27
170.203.192.161,170.203.192.161,34
170.203.192.176,170.203.192.176,8
170.203.192.179,170.203.192.179,24
170.203.192.184,170.203.192.184,25
170.203.192.194,170.203.192.194,13
170.203.192.200,170.203.192.200,14
170.203.192.203,170.203.192.203,13
170.203.192.205,170.203.192.205,9
170.203.192.209,170.203.192.209,22
170.203.192.213,170.203.192.213,27
170.203.192.218,170.203.192.218,11
170.203.192.22,170.203.192.22,26
170.203.192.237,170.203.192.237,26
170.203.192.241,170.203.192.241,31
170.203.192.243,170.203.192.243,10
170.203.192.247,170.203.192.247,23
170.203.192.252,170.203.192.252,25
170.203.192.253,170.203.192.253,10
170.203.192.255,170.203.192.255,19
170.203.192.28,170.203.192.28,22
170.203.192.3,170.203.192.3,21
170.203.192.32,170.203.192.32,37
170.203.192.38,170.203.192.38,31
170.203.192.39,170.203.192.39,35
170.203.192.5,170.203.192.5,30
170.203.192.62,170.203.192.62,9
170.203.192.66,170.203.192.66,14
170.203.192.74,170.203.192.74,12
170.203.192.78,170.203.192.78,27
170.203.192.9,170.203.192.9,12
170.203.193.0,170.203.193.0,22
170.203.193.101,170.203.193.101,20
170.203.193.107,170.203.193.107,21
170.203.193.109,170.203.193.109,35
170.203.193.11,170.203.193.11,24
170.203.193.110,170.203.193.110,22
170.203.193.117,170.203.193.117,10
170.203.193.118,170.203.193.118,22
170.203.193.124,170.203.193.124,9
170.203.193.125,170.203.193.125,26
170.203.193.127,170.203.193.127,9
170.203.193.129,170.203.193.129,22
170.203.193.14,170.203.193.14,10
170.203.193.140,170.203.193.140,31
170.203.193.148,170.203.193.148,13
170.203.193.15,170.203.193.15,10
170.203.193.150,170.203.193.150,12
170.203.193.154,170.203.193.154,26
170.203.193.164,170.203.193.164,25
170.203.193.166,170.203.193.166,12
170.203.193.171,170.203.193.171,24
170.203.193.173,170.203.193.173,29
170.203.193.176,170.203.193.176,16
170.203.193.179,170.203.193.179,8
170.203.193.185,170.203.193.185,20
170.203.193.187,170.203.193.187,25
170.203.193.189,170.203.193.189,28
170.203.193.195,170.203.193.195,25
170.203.193.208,170.203.193.208,21
170.203.193.209,170.203.193.209,25
170.203.193.217,170.203.193.217,30
170.203.193.220,170.203.193.220,25
170.203.193.223,170.203.193.223,16
170.203.193.224,170.203.193.224,25
170.203.193.225,170.203.193.225,11
170.203.193.251,170.203.193.251,17
170.203.193.252,170.203.193.252,26
170.203.193.254,170.203.193.254,32
170.203.193.30,170.203.193.30,25
170.203.193.37,170.203.193.37,31
170.203.193.40,170.203.193.40,13
170.203.193.44,170.203.193.44,10
170.203.193.53,170.203.193.53,34
170.203.193.61,170.203.193.61,17
